구군명,상영관명,소재지,총스크린수,총좌석수,전화번호,홈페이지,비고
중구,메가박스 울산,울산광역시 중구 젊음의거리 73(성남동),8,1141,1544-0070,www.megabox.co.kr,
중구,롯데시네마 울산성남,울산광역시 중구 젊음의2거리 33(성남동 리버플레이스 10층),7,1123,1544-8855,www.lottecinema.co.kr,
남구,CGV 울산삼산,울산광역시 남구 화합로 185(삼산동 업스퀘어 5층),11,2487,1544-1122,www.cgv.co.kr,
남구,롯데시네마 울산,울산광역시 남구 삼산로 288(삼산동),9,1480,1544-8855,www.lottecinema.co.kr,
동구,현대예술관,울산광역시 동구 명덕로 10 (서부동),5,1744,052-235-2100,www.hyundai-artscenter.co.kr,
동구,CGV 울산동구점,울산광역시 동구 등대로 50 (방어동),6,412,052-234-7600,www.cgv.co.kr,
북구,블루마씨네,울산광역시 북구 산하길 60(산하동),2,120,052-298-4433,blumacine.com,자동차 극장
북구,CGV 울산진장,북구 진장유통로 51-10 (진장동 CGV 2층),7,1066,1544-1122,www.cgv.co.kr,
북구,CGV울산신천,"북구 매산1로 17 (신천동 CGV 5,6층)",4,363,1544-1122,www.cgv.co.kr,
울주군,알프스시네마 1관,울산광역시 울주군 상북면 등억알프스리 517 (국제클라이밍센터),2,301,052-254-0267,ynawc.ulju.ulsan.kr,
울주군,범서온천자동차극장,울산광역시 울주군 두동로 704,1,150,052-246-1245,inggcinepark.com ,자동차 극장
